ホイットマン式	下付き数字方式
@ki	ki₁
/ki(?![₁₂])/	ki₁
kwi	ki₂
@gi	gi₁
/gi(?![₁₂])/	gi₁
gwi	gi₂
@pi	pi₁
/pi(?![₁₂])/	pi₁
pwi	pi₂
@bi	bi₁
/bi(?![₁₂])/	bi₁
bwi	bi₂
@mi	mi₁
/mi(?![₁₂])/	mi₁
mwi	mi₂
kye	ke₁
@ke	ke₂
/ke(?![₁₂])/	ke₂
gye	ge₁
@ge	ge₂
/ge(?![₁₂])/	ge₂
pye	pe₁
@pe	pe₂
/pe(?![₁₂])/	pe₂
bye	be₁
@be	be₂
/be(?![₁₂])/	be₂
mye	me₁
@me	me₂
/me(?![₁₂])/	me₂
kwo	ko₁
@ko	ko₂
/ko(?![₁₂])/	ko₂
gwo	go₁
@go	go₂
/go(?![₁₂])/	go₂
swo	so₁
@so	so₂
/so(?![₁₂])/	so₂
zwo	zo₁
@zo	zo₂
/zo(?![₁₂])/	zo₂
two	to₁
@to	to₂
/to(?![₁₂])/	to₂
dwo	do₁
@do	do₂
/do(?![₁₂])/	do₂
nwo	no₁
@no	no₂
/no(?![₁₂])/	no₂
mwo	mo₁
@mo	mo₂
/mo(?![₁₂])/	mo₂
ywo	yo₁
@yo	yo₂
/yo(?![₁₂])/	yo₂
rwo	ro₁
@ro	ro₂
/ro(?![₁₂])/	ro₂
	@