ラテン文字	シリア文字
%%%%%	#記号
¨	̈
^pl	̈
^t	݀
@	◌
%%%%%	#母音
ā	A
ē	E
\\\\	￥
￥￥a_	ܱ
￥￥a	ܰ
￥a	ܲ
￥￥A_	ܴ
￥￥A	ܳ
￥A	ܵ
￥￥e_	ܷ
￥￥e	ܶ
￥e	ܸ
￥E	ܹ
￥￥ī_	ܻ
￥￥i_	ܻ
￥￥ī	ܺ
￥￥i	ܺ
￥i	*ܼ
￥￥u_	ܾ
￥￥u	ܽ
￥u	*ܼ
￥o	*ܿ
u	ܘܼ
o	ܘܿ
i	ܝܼ
￥i	ܼ
￥u	ܼ
￥o	ܿ
*	
￥	
%%%%%	#子音
ḇ	ܒ݂
B	ܒ݂
v	ܒ݂
ḡ	ܓ݂
G	ܓ݂
ḏ	ܕ݂
D	ܕ݂
ḵ	ܟ݂
K	ܟ݂
x	ܟ݂
p̄	ܦ݂
P	ܦ݂
f	ܦ݂
ṯ	ܬ݂
C	ܬ݂
YH	ܞ
s.h	ܣܗ
š	ܫ
sh	ܫ
̉	ܑ
^A	ܑ
^a	ܑ
A	ܐ
a	ܐ
ʾ	ܐ
b	ܒ
g	ܓ
j	ܔ
d	ܕ
d	ܖ*
h	ܗ
w	ܘ
z	ܙ
ḥ	ܚ
H	ܚ
ṭ	ܛ
T	ܛ
ẓ	ܜ
Z	ܜ
y	ܝ
k	ܟ
l	ܠ
m	ܡ
n	ܢ
s_	ܤ
s	ܣ
ʿ	ܥ
`	ܥ
p	ܦ
p	ܧ
ṣ	ܨ
S	ܨ
q	ܩ
r	ܪ
t	ܬ
%%%%%	#記号その2
ʼ	݁
^.	݁
ʰ	݂
_.	݂
^:	݃
_:	݄
^/	݇
_/	݈